Amar Hardware Product,+(91)-281-2370622,4.0,1000,"Samrat Industrial Area, Main Road, Samrat Industrial Area, Rajkot - 360004, Nr. Techno Hydraulic B/H S T Workshop",,"Hardware Manufacturers,"
Unnati Hardware,+(91)-7623861600,0.0,1000,"Jay Bhim Nagar, Kalawad Road, Rajkot - 360005",,"Hardware Shops,"
Chamunda Aluminum,+(91)-8306849064,0.0,1000,"Main road, University Road, Rajkot - 360005, University main road",,"Hardware Shops,"
Shree ram enterprise,+(91)-7069489399,0.0,1000,"Astha enclave, Main road, 150 Feet Ring Road, Rajkot - 360005, Opp mudit",,"Hardware Shops,"
Maruti Hardware And Paints,+(91)-9879347052,0.0,1000,"Kalpvruksh, shop no-5, Opp. Jai Bhim nagar, Nana Mava Main Road, Rajkot - 360005, B/H got residency",,"Hardware Shops,"
Maruti Hardware And Paint,+(91)-9998542333,0.0,1000,"Kalpvruksh, Shop No-5, Opposite  Jai Bheem Nagar, Nana Mava Main Road, Rajkot - 360005, Behind Goal Residency",,"Hardware Shops,"
Shri Dwarkesh Hardware,+(91)-9974792561,0.0,1000,"Kalpvruksh Complex, Main Road, Nana Mava Main Road, Rajkot - 360005, Near Jivrajpark Road",,"Hardware Shops,"
Max Hardware,No Number!,0.0,1000,"University Road, Rajkot - 360005, Near India Circle, Beside Mirchies Restaurant",,"Hardware Shops,"
Shiv Shakti Hardware,+(91)-7405178714,0.0,1000,"Shiv Shakti, Main Road, University Road, Rajkot - 360005, Near University Gate",,"Hardware Shops,"
Radix Enterprise,+(91)-8000888867,0.0,1000,"JK Green Indstri Area, Lothada GIDC, Rajkot - 360005, Near Mavdi",,"Hardware Shops,"
Hardware Product Manufactur..,+(91)-9375654548,0.0,1000,"Shiv Complax, Amrpali Road, Kalavad Road, Rajkot - 360005",,"Hardware Shops,"
Sanjay Hardware Store,+(91)-8200747495,0.0,1000,"Satyam Park, Manda Dungar, Mahika Main Road, Rajnagar, Rajkot - 360003",,"Hardware Shops,"
Icon Sanitary & Hardware,+(91)-9429973064,0.0,1000,"Shop No -1, Siddhnath Appartmnet, Sadhuvasvani main road, University Road, Rajkot - 360005, Opposite sadhuvasvani school",,"Hardware Shops,"
Siddharth Hardware,+(91)-9687680603,0.0,1000,"Satya Sai Hospital, Rajkot - 360005, Behind Big Bazaar, Maruti Chowk",,"Hardware Shops,"
